"id","title","abstract","human_decision"
"record_017","Identifying indicators to evaluate community-managed freshwater protected areas in the lower mekong basin: A review of marine and freshwater examples","Protected areas are frequently established as a management tool to conserve terrestrial and aquatic habitats and species. Monitoring and evaluation are a necessary part of adaptive management to determine whether such protected areas are effectively meeting their objectives. While numerous initiatives have developed methods to evaluate terrestrial and marine protected areas (MPAs), similar efforts and resources are lacking for freshwater protected areas (FPAs), which have become widespread as a community-based fisheries management approach in the Lower Mekong Basin (LMB). This review summarizes published literature on the evaluation of marine and freshwater protected areas to provide guidance on the evaluation of community-managed FPAs in the LMB. Specifically, the review examines several indicators related to common objectives of aquatic protected areas and provides considerations for measuring these indicators in the context of community-managed freshwater protected areas in the LMB. Key conclusions include that first, FPAs should be established with clearly defined objectives, and these objectives should inform the selection of indicators for evaluation. Second, indicators id...","Reject"
"record_018","Enhancing rural farmer income through fish production: Secondary use of water resources in Sri Lanka and elsewhere","The inland fishery of Sri Lanka has been essentially a capture fishery from major and medium scale irrigation reservoirs. However, small-sized (<100 ha) minor irrigation reservoirs are also frequent in the country. Naturally, these water bodies are incapable of supporting self-recruiting fisheries, but can be utilized to enhance the fish production significantly through development of culture-based fisheries (CBF), without causing impediment on their primary use. CBF in village reservoirs of Sri Lanka is a communal activity, and the water bodies used for this purpose are rural, thus benefiting rural communities by augmenting their traditional means of incomes and also increased food-fish availability. CBF is a non-water consumptive secondary activity that brings into play communities that were not engaged in fishery-related activities previously. It is also environmentally friendly, as the only external input is the seed stock. CBF is a present day paradigm of ecosystem-based aquaculture. CBF has developed as a result of coordinated efforts of a multitude of stakeholders, working in unison, resulting in developing and improving the knowledge base, facilitating required legislati...","Reject"
"record_019","Assessment of the changing levels of livelihood assets in the Kampong Phluk community with implications for community-based ecotourism","In recent years, international attention has been rendered to development of ecotourism for poverty reduction and biodiversity conservation. We assessed local livelihood assets in Kampong Phluk Community before and after the introduction of the community-based ecotourism (CBET) governance system, where it was previously under the private company management system (SEAPAC). We used a sustainable livelihood framework to assess natural, physical, human, social, and financial assets by analyzing a set of panel data of 150 observations according to the scoring scale of zero (total dissatisfaction) to one (total satisfaction). We found that full implementation of CBET raised the overall average score of livelihood assets by 0.15. In particular, physical capital and human capital achieved remarkable growth by 0.25 to 0.23, respectively, while growth in natural capital and financial capital was statistically insignificant. Although CBET showed promising results, improving communication and providing community health care would motivate active participation in ecotourism development. Â© 2020 Elsevier Ltd","Reject"
"record_020","Small-scale managed marine areas over time: Developments and challenges in a local Fijian reef fishery","This paper investigates the Locally Managed Marine Area (LMMA) approach through looking at developments and challenges of community-based marine resource management over time, with a particular focus on Fiji in the South Pacific region. A diachronic perspective, based on two multi-method empirical studies, is used to exemplify the social complexities of the implementation of this LMMA approach in a specific island setting. This perspective connects local stakeholdersâ€™ establishment and management of a LMMA covering their entire customary fishing rights area (iqoliqoli) with the national context articulated around the Fiji Locally Managed Marine Area (FLMMA) network, as well as with regional networking and international conservation dynamics. It especially explores the impacts of a small-scale marine closure (so-called tabu area) on the harvesting patterns in a portion of this LMMA, related aspects of formal and informal enforcement, and villagersâ€™ views of the health of their reef fishery. This case study reveals a lack of consensus on the current management of this closure as a conditionally-opened no-take area, whose temporary openings (re)produce social tensions, as well ...","Accept"
"record_021","Using local ecological knowledge to identify shark river habitats in Fiji (South Pacific)","Local ecological knowledge (LEK) and traditional ecological knowledge (TEK) have the potential to improve community-based coastal resource management (CBCRM) by providing information about the presence, behaviour and ecology of species. This paper explores the potential of LEK and TEK to identify shark river habitats in Fiji, learn how locals regard and use sharks, and capture ancestral legends and myths that shed light on relationships between these animals and local people. Interviews with representatives from 22 villages, communities and fishing settlements associated with seven riverine areas on Viti Levu and Vanua Levu confirmed the presence of sharks in estuaries and rivers on Fiji. Hammerhead sharks (Sphyrna spp.) and larger sharks were reported being close to the river mouths, whereas an unknown species of small size with a rounded snout was reported up to >30 km upriver. Local people consume shark meat as a source of protein, but sharks also have a rich background in ancestral stories and play an important part in Fijian myths and legends, resulting in the support of conservation measures by local villagers. Copyright Â© 2010 Foundation for Environmental Conservation.","Accept"
"record_022","Fishers' perceived objectives of community-based coastal resource management in the Kei islands, Indonesia","Community-based resource management is a key approach to achieve successful small-scale fisheries and marine conservation. Many local management initiatives worldwide have been successfully managing aquatic resources and livelihoods of communities depending on them. Community-based management is particularly prevalent in small tropical islands where communities are frequently heavily dependent on coral reef ecosystems and small-scale reef fisheries for their livelihoods. Community-based management is, however, not always a panacea since there are inherit trade-offs among multiple objectives which are sometimes accentuated by community heterogeneity. It is well recognized that perceived and real evidence of community benefits are key to attributing success to local community-based management. However, broader understanding of community-based management objectives and how fishers' perceived personal objectives and characteristics affect management outcomes remains limited. We apply a non-linear Principle Component Analysis (PCA) to explore variations in personally held community-based management objectives, based on local surveys for fishing communities in the Kei Islands in Indon...","Reject"
"record_023","The reimplementation of the Ra'ui: Coral reef management in Rarotonga, Cook Islands","This research focuses on coral reef health in the South Pacific region, an area of high global coral diversity. Coral reef health surrounding two study sites in Rarotonga. Cook Islands, has been assessed in areas that have not been previously surveyed. Each study site has distinct differences based upon marine management practices. Marine management practices are identified and described and some historical reasons as why they exist are discussed. Data are also presented on the ecological condition (coral coverage, number of coral species. clonal condition, disease, and presence and absence of bioindicators). This interdisciplinary research methodology includes both ecological and social data collection to further understand human-environment interactions. In comparing the reefs with different management practices. I argue that the implementation of traditional marine social institutions as exemplified in this case study of the Ra'ui in Rarotonga, Cook Islands, is an effective conservation management tool and is improving coral reef health. The Ra'ui site has significantly higher species diversity/Mortality Index (F = 2.63).","Accept"
"record_024","Social capital, community-based governance and resilience in an African artisanal river fishery","This is a study of a community-based fishery on the Rovuma River that forms the border between Mozambique and Tanzania. We postulate a relationship between social capital and community-based governance over access to and the use of the fish resource. In historical times social capital was high and community-based governance regulated access to and use of the fishery as a common property resource. Transforming forces particularly colonial administration, advocating Christianity, war and an emerging market economy undermined social capital, which in turn affected community-based governance. The deconstruction of social capital has resulted in attitudes and behaviours that challenge governance processes with dire consequences for sustainable resource utilisation. Harvesting of fish stocks occurs at levels that are no longer sustainable and inappropriate practices are being adopted. While the Mozambique government policy promotes community-based fisheries management in artisanal fisheries, we argue that under current conditions of ineffective community-based governance, a strong focus on reconstruction of social capital will be required before a community-based resource management p...","Reject"
"record_025","Indigenous Resource Management and Sustainable Development: Case Studies from Papua New Guinea and Indonesia","In tropical waters reefs provide local populations with food as well as with a source of income. Various types of regulatory measures have been adopted worldwide for the sustainable use of these resources. The cases of Papua New Guinea and Indonesia are examined to evaluate the roles of customary practices under rapidly changing socio-economic conditions. In Maluku, eastern Indonesia, harvesting of coconut, sago, trepang, trochus, and reef fish is controlled by sasi, community-based resource management practices, under prior authorization by the head of local government. In Manus, Papua New Guinea, reefs are exclusively claimed and used by certain clan members. Disputes over reef ownership are resolved through either informal compromise between local groups or judgment in the local court, which gives customary practices top priority. These cases illustrate the significant role of local government as an important agency for resource management as well as social integration. Â© 1995, The Anthropological Society of Nippon. All rights reserved.","Accept"
"record_026","A method to count pirarucu Arapaima gigas: Fishers, assessment, and management","The giant and obligate air-breathing fish pirarucu Arapaima gigas (also known as arapaima) is a species endemic to the Amazon Basin that is increasingly managed by artisanal fishers because of government failure to control the fishery. In this study the ability of experienced artisanal fishers to count the number of pirarucu at the moment of aerial breathing was assessed. Counts were strongly correlated (r = 0.98) with mark-recapture abundance estimates calculated for the same populations. The potential for trained fishers to train other fishers to count pirarucu without slow and expensive mark-recapture work was also assessed and confirmed. Not only are the counts a cost-effective method for assessing pirarucu populations, they also allow fisher participation in decision making and contribute to effective management. The increasing number of community-based management schemes can now be matched with the training of fishers to count pirarucu.","Reject"
"record_027","Indigenous knowledge and long-term ecological change: Detection, interpretation, and responses to changing ecological conditions in pacific island communities","When local resource users detect, understand, and respond to environmental change they can more effectively manage environmental resources. This article assesses these abilities among artisanal fishers in Roviana Lagoon, Solomon Islands. In a comparison of two villages, it documents local resource users' abilities to monitor long-term ecological change occurring to seagrass meadows near their communities, their understandings of the drivers of change, and their conceptualizations of seagrass ecology. Local observations of ecological change are compared with historical aerial photography and IKONOS satellite images that show 56 years of actual changes in seagrass meadows from 1947 to 2003. Results suggest that villagers detect long-term changes in the spatial cover of rapidly expanding seagrass meadows. However, for seagrass meadows that showed no long-term expansion or contraction in spatial cover over one-third of respondents incorrectly assumed changes had occurred. Examples from a community-based management initiative designed around indigenous ecological knowledge and customary sea tenure governance show how local observations of ecological change shape marine resource use a...","Accept"
"record_028","Fishers' perceptions, facilitating factors and challenges of community-based no-take zones in the Sian Ka'an Biosphere Reserve, Quintana Roo, Mexico","In response to fisheries decline in the Mexican Caribbean and continuing deterioration of the Mesoamerican Reef, conservation NGOs have begun to negotiate and collaboratively design a network of no-take zones (NTZs) with three fishing cooperatives in the Sian Ka'an Biosphere Reserve (SKBR), among other places along the coast of Quintana Roo. Spiny lobster (Panulirus argus) is the target of the main fishery within cooperative concessions. Fishers are uniquely positioned to enforce and monitor NTZs and evaluate their effectiveness. This study analyzes fishers' perceptions as indicators of social acceptance of NTZs, and identifies facilitating factors and challenges of the community-based process. Consistent with similar studies, responses of fishers (89 out of a population of 124) to a semi-structured interview showed that perceptions of NTZs largely reflect fishers' concerns and interests. A high proportion of fishers accurately identified main NTZ objectives of regulation, conservation and economic improvement, as well as NTZ locations. Further, fishers cared about ecosystem sustainability and, because NTZs would not significantly limit their main economic activity, endorsed the...","Reject"
"record_029","Dispersal of grouper larvae drives local resource sharing in a coral reef fishery","In many tropical nations, fisheries management requires a community-based approach because small customary marine tenure areas define the spatial scale of management [1]. However, the fate of larvae originating from a community's tenure is unknown, and thus the degree to which a community can expect their management actions to replenish the fisheries within their tenure is unclear [2, 3]. Furthermore, whether and how much larval dispersal links tenure areas can provide a strong basis for cooperative management [4, 5]. Using genetic parentage analysis, we measured larval dispersal from a single, managed spawning aggregation of squaretail coral grouper (Plectropomus areolatus) and determined its contribution to fisheries replenishment within five community tenure areas up to 33 km from the aggregation at Manus Island, Papua New Guinea. Within the community tenure area containing the aggregation, 17%-25% of juveniles were produced by the aggregation. In four adjacent tenure areas, 6%-17% of juveniles were from the aggregation. Larval dispersal kernels predict that 50% of larvae settled within 14 km of the aggregation. These results strongly suggest that both local and cooperative m...","Accept"
"record_030","Community-based management of the environment: Lessons from the past and options for the future","1. Traditional community-based systems of managing coastal fisheries were (or in some cases are) successful in managing resources at sustainable levels. These systems are used as models in the present study. 2. They were (or are) under-pinned by a sense of ownership and intimate knowledge of the environment in local people. 3. Such features have been largely lost, as subsistence economies have been replaced by capitalist ones, and environmental management responsibilities have shifted from local communities to national or international government. 4. There are, nevertheless, some examples of community-based management systems that still operate successfully and we believe that modern management practices, in general, would benefit from increased community involvement. This will require renewed emphases on feelings of ownership and increased knowledge of the environment in the general public. 5. Environmental education will have a fundamental role to play in achieving this goal. However, its impact in schools and universities has been disappointingly ineffective so far in promoting a population that is sufficiently knowledgeable and well-motivated to partake meaningfully in envir...","Accept"
"record_031","Effects of small, Fijian community-based marine protected areas on exploited reef fishes","No-take marine protected areas (MPAs) are commonly applied in community-based management schemes to sustain and enhance coral-reef fisheries. However, many MPAs in Fiji and the South Pacific are relatively small (â‰¤1 km 2), and few data exist regarding the effects of these MPAs on populations of exploited species. We used hook-and-line fishing surveys to assess whether 4 relatively small (&lt;1 km 2) community-based MPAs in Fiji (3 current, 1 former) were providing any commonly sought benefits to exploited reef-fish stocks. All of the MPAs had maintained no-take status for over 4 yr, although the former MPA was opened to fishing 4 mo before this study. The current MPAs exhibited significantly greater catch and biomass per unit effort, individual fish biomass, and/or percentage of reproductive-size fish than paired, adjacent fished areas, while this was not the case with the former MPA. Sites with intact MPAs also exhibited greater catch diversity than the former MPA site. Additionally, tag and recapture data from the 17 recaptured of 2650 tagged fish suggest site fidelity of these fishes, although fishes initially captured in the MPA at all 4 sites were later caught in fished a...","Accept"
"record_032","Non-management of natural resources: The case of Inland Fisheries in the Mayan Zone, Quintana Roo, MÃ©xico","This study explores the management of inland fisheries on common lands (ejidos) within the Mayan Zone of Quintana Roo, Mexico. Qualitative survey data are used to examine whether there are (a) ongoing fishery conservation activities; (b) local caretakers of fishing sites; (c) restrictions on where fishing can take place; and (d) particular groups of individuals who lack the right to fish within the ejido s. Results indicate that in contrast to other local resources, fisheries in the ejidos have less defined use rights, being viewed as largely ""open access"". In particular, most feel that outsiders can fish in an ejido if they abide by local rules (notably not damaging the local water bodies, asking consent to fish, and having a friend or relative in the community). However, there are within-community differences in views concerning management and conservation, with those more dependent on fishing being more likely to support exclusion of outsiders. Â© Springer Science+Business Media, LLC 2008.","Reject"
"record_033","Biophysical indicators and Indigenous and Local Knowledge reveal climatic and ecological shifts with implications for Arctic Char fisheries","Managing Arctic marine resources to be resilient to environmental changes requires knowledge of how climate change is affecting marine food webs and fisheries. Changes to fishery resources will have major implications for coastal Indigenous communities whose livelihoods, health, and cultures are strongly connected to fisheries. Understanding these broad social-ecological changes requires a transdisciplinary approach bringing together contrasting and complementary disciplines and ways of knowing. Here, we examine climatic proxies, ecological, and fishery indicators (stable isotopes, fish condition, and lipid content), and interviews with Inuit fishers to assess how marine ecosystem changes have influenced Arctic Char (Salvelinus alpinus) ecology and fisheries over a 30-year time period (1987â€“2016) in the Kitikmeot region of the Canadian Arctic. Inuit fishers reported several observations of environmental changes, including longer ice-free seasons, warmer ocean temperatures, and the arrival of new marine species. Biophysical data revealed important changes toward earlier dates of ice breakup (>12 days in some areas) and a shift in isotopic niche reflecting a changing Arctic Char...","Reject"
"record_034","Mangrove dependency and the livelihoods of coastal communities in Thailand","From 1961 to 1996, Thailand lost 50-60% of its mangrove forests, mainly because of conversion to shrimp aquaculture. The speed and scale of deforestation have affected many coastal communities. This chapter highlights the importance of mangroves to four case study villages. Households depend directly on mangrove forests for fish and wood collection and/or benefit indirectly from the mangroves' support to coastal fisheries. Mangrove loss therefore affects the decision of households to look for outside employment. In response to deforestation, female household members allocate more hours to employment relative to mangrove-dependent activities, whereas males allocate fewer hours to outside work. Awareness of community conservation efforts and of the environmental damage imposed by shrimp farms also motivates households to participate in replanting activities. Efforts to control mangrove deforestation and promote community-based management of remaining mangrove forests, as well as replanting, would help to mitigate some of the worst impacts on coastal villages. By developing institutions to support local community management, the government of Thailand could help avoid excessive man...","Reject"
